Strategy,Environment,Agents,SuccessRate,NormReturn,Makespan,ActionEfficiency,ManagerUtil,DelegationSuccess,MessagesPerEp,BytesPerStep,CoordLatency
tree,task_distribution,3,1.0,0.8947,35,70,100.0,0.78125,12578.2,35937.71428571428,0.00011800670900436885
tree,task_distribution,5,1.0,0.9312999999999999,23.1,92.4,100.0,0.78125,8522.0,36891.77489177489,8.149664378988575e-05
tree,task_distribution,8,1.0,0.9436,14.6,87.6,200.0,0.7575757575757576,5522.3,37823.97260273973,9.950442049997829e-05
tree,task_distribution,12,1.0,0.9437,14.6,116.8,400.0,0.819672131147541,5331.5,36517.12328767123,8.523325145765507e-05
tree,resource_allocation,3,0.0,27.685,0.0,200,100.0,0.8064516129032258,37600.3,37600.3,0.00010377680397747706
tree,resource_allocation,5,0.0,30.495,0.0,400,100.0,0.8333333333333334,37750.4,37750.4,8.495285510434769e-05
tree,resource_allocation,8,0.3,21.905,11,439.8,200.0,0.7352941176470589,27578.4,37624.01091405184,0.00010696426033973694
tree,resource_allocation,12,0.0,31.43,0.0,800,400.0,0.7575757575757576,38977.6,38977.6,0.00010484484410549086
tree,collaborative,3,0.9,13.675,34.44444444444444,82,100.0,0.7741935483870968,13328.0,32507.317073170732,0.00010130225200555287
tree,collaborative,5,0.2,26.905,22.5,338,100.0,0.410958904109589,33344.9,39461.420118343194,0.00011046529980376362
tree,collaborative,8,0.3,18.195,11,439.8,200.0,0.42028985507246375,28864.2,39378.171896316504,0.00011174461097150708
tree,collaborative,12,0.5,15.325,12.4,449.6,400.0,0.5806451612903226,19384.5,34491.99288256228,8.512403572942211e-05
peer_to_peer,task_distribution,3,1.0,0.9198,24.4,73.2,0.0,1.0,5548.2,22738.524590163935,4.530120446967582e-05
peer_to_peer,task_distribution,5,1.0,0.943,13.6,68,0.0,1.0,4433.7,32600.735294117647,8.329949690960347e-05
peer_to_peer,task_distribution,8,1.0,0.9414,14.2,113.6,0.0,1.0,8207.1,57796.47887323944,0.00010164108185563236
peer_to_peer,task_distribution,12,1.0,0.943,13.7,164.4,0.0,1.0,11558.2,84366.42335766423,0.0001436267007375136
peer_to_peer,resource_allocation,3,0.0,29.415,0.0,300,0.0,1.0,44989.2,44989.2,3.937173266119013e-05
peer_to_peer,resource_allocation,5,0.1,28.135,11,455.5,0.0,1.0,68105.3,74758.83644346871,8.827629964798689e-05
peer_to_peer,resource_allocation,8,0.2,25.31,11,657.6,0.0,1.0,90644.9,110273.60097323601,0.00011383118107914925
peer_to_peer,resource_allocation,12,0.2,25.105,11,986.4,0.0,1.0,140818.6,171312.16545012165,0.0001057601993670687
peer_to_peer,collaborative,3,0.8,8.27,22.75,114.6,0.0,0.86,10509.6,27512.041884816754,3.7055266633008915e-05
peer_to_peer,collaborative,5,0.3,18.705,12.666666666666666,369,0.0,0.58,48737.2,66039.56639566396,8.670901763252914e-05
peer_to_peer,collaborative,8,0.2,23.69,11,657.6,0.0,0.56,93714.7,114008.15085158151,0.00010051940043922513
peer_to_peer,collaborative,12,0.5,20.315,12.4,674.4,0.0,0.8,85877.1,152806.22775800712,0.00010726182081270963
hybrid,task_distribution,3,1.0,0.8924000000000001,35.9,71.8,100.0,0.7142857142857143,7030.5,19583.56545961003,7.83616238009386e-05
hybrid,task_distribution,5,1.0,0.9302999999999999,22.2,88.8,100.0,0.7246376811594203,11575.4,52141.44144144144,0.00012244238403805516
hybrid,task_distribution,8,1.0,0.9417,15,105,100.0,0.7246376811594203,14596.4,97309.33333333333,0.00018560366571005997
hybrid,task_distribution,12,1.0,0.9430999999999999,13.9,152.9,100.0,0.7936507936507936,20458.3,147182.01438848922,0.00027723918329222036
hybrid,resource_allocation,3,0.0,27.57,0.0,200,100.0,0.819672131147541,20292.0,20292.0,5.8860131238977756e-05
hybrid,resource_allocation,5,0.0,30.205000000000002,0.0,400,100.0,0.704225352112676,53863.8,53863.8,0.00015193539106154015
hybrid,resource_allocation,8,0.1,28.225,11,637.7,100.0,0.746268656716418,92368.4,101392.31613611415,0.0002557109851295536
hybrid,resource_allocation,12,0.1,28.775,11,1002.1,100.0,0.819672131147541,148182.9,162659.6048298573,0.000260263859045467
hybrid,collaborative,3,0.6,16.11,33.333333333333336,120,100.0,0.6333333333333333,12499.6,20832.666666666668,6.46803923051006e-05
hybrid,collaborative,5,0.7,13.23,23.142857142857142,184.8,100.0,0.6833333333333333,18729.0,40538.96103896104,9.129943126546485e-05
hybrid,collaborative,8,0.4,19.86,11,450.8,100.0,0.5384615384615384,68502.4,106370.18633540372,0.00020043600058656128
hybrid,collaborative,12,0.4,13.39,11,708.4,100.0,0.5263157894736842,101417.3,157480.2795031056,0.0002529888717819833
