Protocol,Scenario,AvgThroughput_msg_per_sec,                    PeakThroughput_msg_per_sec,SuccessRate_percent
rest,point_to_point_latency,                            7.4,62.0                            ,100.0
grpc,point_to_point_latency,                            8.0,67.0                            ,100.0
mqtt,point_to_point_latency,                            8.7,73.0                            ,100.0
kafka,point_to_point_latency,                            7.7,66.2                            ,100.0
rest,broadcast_throughput,                            4.4,36.0                            ,100.0
grpc,broadcast_throughput,                            4.6,40.0                            ,100.0
mqtt,broadcast_throughput,                            4.8,40.0                            ,100.0
kafka,broadcast_throughput,                            2.3,19.5                            ,100.0
rest,concurrent_messaging,                            25.0,250.0                            ,100.0
grpc,concurrent_messaging,                            25.0,250.0                            ,100.0
mqtt,concurrent_messaging,                            25.0,250.0                            ,100.0
kafka,concurrent_messaging,                            25.0,250.0                            ,100.0
rest,scalability_stress,                            55.6,456.2                            ,100.0
grpc,scalability_stress,                            263.2,2192.2                            ,100.0
mqtt,scalability_stress,                            932.2,7011.0                            ,100.0
kafka,scalability_stress,                            121.4,979.8                            ,100.0
